# Morphy — Duke of Brunswick & Count Isouard, Paris 1858.
# Played in a box at the Italian Opera during a performance of Norma.
# Seventeen moves; the last one is mate. One UCI move per line.
#
# It is here because it is short, famous, and someone else published the
# result: if the channel says anything other than "White wins at ply 33",
# the channel is wrong.
e2e4  e7e5
g1f3  d7d6
d2d4  c8g4
d4e5  g4f3
d1f3  d6e5
f1c4  g8f6
f3b3  d8e7
b1c3  c7c6
c1g5  b7b5
c3b5  c6b5
c4b5  b8d7
e1c1  a8d8
d1d7  d8d7
h1d1  e7e6
b5d7  f6d7
b3b8  d7b8
d1d8
